Date,RSI_14,RSI_5,RSI_7,RSI_50,ROC_12,ROC_25,ROC_200,MACD,TRIX_15,TRIX_30,MA_10,MA_20,MA_50,MA_100,MA_200,EMA_12,EMA_26,EMA_50,EMA_200,ADX,CCI,NegativeVolume,ADI,MFI,OBV,Bollinger_mavg,Bollinger_hband,Bollinger_lband,Bollinger_hband_indicator,Bollinger_lband_indicator
2014-11-13,58.07000542212418,79.08414761217107,71.11709781676176,49.29729293333183,7.067226532442595,0.35197256756406303,-21.4709304192269,-1.1862536411003362,-0.19326346643569164,-0.15575372107533517,305.2119995117188,303.46299896240237,314.98640014648436,324.3132006835938,328.83855056762695,306.2891730537763,307.47542669487666,312.65290905572874,324.3308418200557,23.209838127475752,120.8556033471573,1200.2437479971106,225465688.22455394,78.65015102085172,104725400,303.46299896240237,320.076903180141,286.8490947446637,0.0,0.0
2014-11-14,65.29764934326371,87.78919706604661,80.25796014521735,51.94921824695173,11.45791267730846,5.276338964925024,-8.606316013011895,0.6191764279623726,-0.15461330846707808,-0.15287347753062797,307.4480010986328,304.67199859619143,314.6152001953125,324.3170007324219,328.684200592041,309.60160909538286,308.9824326674205,313.2476972231205,324.36555988477375,23.755590258694912,186.5043622425809,1200.2437479971106,228891835.75139105,80.0627728560773,113603200,304.67199859619143,324.39055831172556,284.9534388806573,1.0,0.0
2014-11-17,60.568220630784346,72.02725298916991,69.46874562380657,50.8085788793048,8.01818299444302,5.4168624325989265,-6.673409363232185,1.6461166456414844,-0.11347402712969092,-0.14861225872654327,309.1809997558594,305.5139984130859,314.2294000244141,324.2906005859375,328.5687005615234,311.67059043347297,310.0244737878315,313.63210077487923,324.3524696152036,24.262360094826988,138.45491155533003,1182.7793285221132,228925419.7013508,71.2041611098748,108818300,305.5139984130859,326.7992692703022,284.2287275558696,0.0,0.0
2014-11-18,61.744284659629706,74.30047876163508,71.24613873793827,51.239158308781775,6.373993899481413,5.39067667243872,-6.6158984692183385,2.581912172701209,-0.07100920253828658,-0.1430671636801756,311.39299926757815,305.9939987182617,314.1329998779297,324.2942004394531,328.4536004638672,313.7104984707512,311.12858629805,314.07515535922835,324.3582161133188,24.859541628833632,143.48100913354727,1189.662569496994,227265978.7536128,70.7297650936675,112367800,305.9939987182617,328.5387674291347,283.44923000738873,0.0,0.0
2014-11-19,62.768407534535285,76.35725281248655,72.82665826315474,51.609302462938444,6.810155449786396,6.722883695183285,-5.746861873455953,3.414096120241254,-0.02832748962128004,-0.13635684471532114,314.39500122070314,306.67249908447263,314.0372003173828,324.3118005371094,328.35405044555665,315.68426925139283,312.2701731311516,314.56397313121636,324.3799254907477,25.414067338982655,132.8160748937598,1195.5573026979514,227760491.4817976,70.50267424606582,115649400,306.67249908447263,330.77892824798823,282.56606992095703,0.0,0.0
2014-11-20,65.25691333381864,81.06372894570175,76.5610395856354,52.522967541082956,9.157561246293517,9.139544519632782,-6.782477802913365,4.346273331331133,0.015229416454370792,-0.12839396735692474,317.7850006103516,307.5404998779297,314.0376007080078,324.2933004760742,328.2338005065918,317.9697676042435,313.62349427291235,315.1904843239107,324.4412198494957,26.291134238678577,132.66279838287653,1195.5573026979514,229629703.95868078,70.06112073751565,119086100,307.5404998779297,333.68563962715587,281.3953601287035,0.0,0.0
2014-11-21,66.51622066965207,83.24246048964315,78.37282873554409,52.99613856218836,12.177936465347592,9.547486772433594,-7.879135578664706,5.193804776303523,0.05875515584847314,-0.11928348023625118,321.06200256347654,309.8190002441406,314.06640075683595,324.29110046386717,328.0915505981445,320.2251887240233,315.0313839477198,315.87438709092646,324.5227002975884,27.537242669027545,142.24938101178594,1195.5573026979514,226673682.21552724,70.91942392432016,123552700,309.8190002441406,336.3672305817511,283.2707699065302,0.0,0.0
2014-11-24,68.29840068337882,86.11785932917435,80.85885843832068,53.67463831799098,13.147248541711676,9.611059081877425,-6.991432042045201,6.038751219892447,0.10212101045705435,-0.10905058798604875,324.11500549316406,312.10250091552734,314.30140075683596,324.2726007080078,327.9654006958008,322.59670040470246,316.55794918481,316.6495097402406,324.63332034088046,28.694343354351588,130.60114727137645,1206.3760475605893,226884431.48560315,76.6961122750504,126306900,312.10250091552734,339.2778470461808,284.9271547848739,0.0,0.0
2014-11-25,67.52684723220533,82.58686828851128,78.75357098363989,53.51750304343452,11.732149973966528,6.250601849481642,-7.393791804142255,6.584064884305349,0.14286358407048866,-0.09803595650323867,326.4180053710937,314.0750015258789,314.4470007324219,324.28750091552735,327.83165069580076,324.5110555031977,317.9269906188924,317.37070577179674,324.73686947723905,29.316242136297628,108.337322059273,1204.2194721819665,228139014.99519354,79.14086198264991,123741900,314.0750015258789,341.8892010012168,286.26080205054103,0.0,0.0
2014-11-26,65.57240295140517,73.37357097753198,73.29864853261165,53.12866440664247,9.32779107175507,6.582102445335877,-4.489618518477094,6.819007801674729,0.1788117105572913,-0.08660598680427288,328.62400512695314,316.0475021362305,314.6384008789062,324.3851010131836,327.75325073242186,325.9047403987394,319.0857325970647,318.0059724993427,324.82476139611447,29.893719576676094,93.02709782598956,1198.9359118639318,228645190.2548566,81.30688436955172,121758300,316.0475021362305,343.51452330496693,288.58048096749405,0.0,0.0
